                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.49495,                0.74346,                 1.3497,                0.92916,                0.85059,                0.87136,                0.96266,                0.87551,                0.85059,                0.87136,                0.96266,                0.89567,                0.36402,                0.55476,                 1.9168,                0.89071,               0.003466,               0.003466,               0.003466
                     68,                0.57693,                0.77598,                 1.3826,                0.93391,                  0.984,                0.49787,                0.61624,                0.54835,                  0.984,                0.49787,                0.61624,                0.56652,                0.36402,                0.55476,                 1.9168,                0.89071,               0.003367,               0.003367,               0.003367
                     69,                0.53213,                0.78096,                 1.3414,                0.91993,                0.80491,                0.93677,                0.94605,                 0.9071,                0.80491,                0.93677,                0.94605,                0.90664,                0.34257,                0.55011,                 1.7967,                0.87185,               0.003268,               0.003268,               0.003268
                     70,                 0.5326,                0.67606,                  1.398,                0.94806,                0.80491,                0.93677,                0.94605,                 0.9071,                0.80491,                0.93677,                0.94605,                0.90664,                0.34257,                0.55011,                 1.7967,                0.87185,               0.003169,               0.003169,               0.003169
                     71,                0.52275,                0.73651,                 1.2891,                 0.9669,                0.84078,                0.63949,                0.65924,                0.62809,                0.84078,                0.63949,                0.65924,                0.63321,                0.36927,                0.56091,                  1.681,                0.88562,                0.00307,                0.00307,                0.00307
                     72,                0.47212,                0.64264,                 1.2869,                0.90588,                0.85578,                0.95833,                0.96817,                 0.9163,                0.85578,                0.95833,                0.96817,                0.91848,                0.36927,                0.56091,                  1.681,                0.88562,               0.002971,               0.002971,               0.002971
                     73,                0.56982,                0.84872,                 1.2961,                 1.0162,                 0.9348,                0.92625,                0.98301,                0.92124,                 0.9348,                0.92625,                0.98301,                0.91804,                0.37907,                0.56365,                 1.6028,                0.88778,               0.002872,               0.002872,               0.002872
                     74,                0.49878,                0.66737,                 1.3154,                0.93415,                 0.9348,                0.92625,                0.98301,                0.92124,                 0.9348,                0.92625,                0.98301,                0.91804,                0.37907,                0.56365,                 1.6028,                0.88778,               0.002773,               0.002773,               0.002773
                     75,                0.48353,                0.65606,                 1.2203,                0.92912,                0.93949,                0.96784,                  0.995,                0.95689,                0.93949,                0.96784,                  0.995,                0.94029,                0.32917,                0.55566,                 1.5275,                0.86753,               0.002674,               0.002674,               0.002674
                     76,                0.50603,                0.70979,                 1.3255,                0.95354,                0.93949,                0.96784,                  0.995,                0.95689,                0.93949,                0.96784,                  0.995,                0.94029,                0.32917,                0.55566,                 1.5275,                0.86753,               0.002575,               0.002575,               0.002575
                     77,                0.60068,                0.80189,                 1.4264,                0.97827,                0.95049,                0.87337,                  0.995,                0.96521,                0.95049,                0.87337,                  0.995,                0.93601,                0.33711,                  0.563,                 1.4874,                0.86528,               0.002476,               0.002476,               0.002476
                     78,                0.46465,                0.81558,                 1.1959,                 0.8983,                0.95049,                0.87337,                  0.995,                0.96521,                0.95049,                0.87337,                  0.995,                0.93601,                0.33711,                  0.563,                 1.4874,                0.86528,               0.002377,               0.002377,               0.002377
                     79,                0.45003,                0.71911,                 1.2824,                0.88931,                0.98166,                0.87967,                  0.995,                0.93804,                0.98166,                0.87967,                  0.995,                0.94116,                0.33857,                0.55175,                 1.4748,                0.86357,               0.002278,               0.002278,               0.002278
                     80,                 0.5023,                0.82363,                 1.2407,                0.91883,                0.98166,                0.87967,                  0.995,                0.93804,                0.98166,                0.87967,                  0.995,                0.94116,                0.33857,                0.55175,                 1.4748,                0.86357,               0.002179,               0.002179,               0.002179
                     81,                0.46953,                0.55707,                 1.1551,                0.90585,                0.90796,                0.84728,                0.98618,                0.92663,                0.90796,                0.84728,                0.98618,                0.92631,                0.33199,                0.53006,                 1.5223,                 0.8642,                0.00208,                0.00208,                0.00208
                     82,                 0.5284,                0.73401,                  1.323,                  0.941,                0.90796,                0.84728,                0.98618,                0.92663,                0.90796,                0.84728,                0.98618,                0.92631,                0.33199,                0.53006,                 1.5223,                 0.8642,               0.001981,               0.001981,               0.001981
                     83,                0.46606,                0.67834,                 1.2528,                0.92759,                0.91919,                0.97008,                0.99333,                0.93118,                0.91919,                0.97008,                0.99333,                0.94102,                0.35626,                0.51658,                 1.3995,                0.87225,               0.001882,               0.001882,               0.001882
                     84,                0.43378,                0.61456,                 1.1535,                0.89934,                0.91919,                0.97008,                0.99333,                0.93118,                0.91919,                0.97008,                0.99333,                0.94102,                0.35626,                0.51658,                 1.3995,                0.87225,               0.001783,               0.001783,               0.001783
                     85,                0.53841,                0.81884,                 1.1679,                0.94925,                0.99241,                0.97727,                  0.995,                0.96338,                0.99241,                0.97727,                  0.995,                0.95689,                0.31771,                0.49845,                 1.3307,                 0.8472,               0.001684,               0.001684,               0.001684
                     86,                0.45795,                0.78397,                 1.0964,                0.94619,                0.99241,                0.97727,                  0.995,                0.96338,                0.99241,                0.97727,                  0.995,                0.95689,                0.31771,                0.49845,                 1.3307,                 0.8472,               0.001585,               0.001585,               0.001585
                     87,                0.55578,                0.85377,                 1.1602,                0.94718,                0.99222,                0.97625,                  0.995,                0.97193,                0.99222,                0.97625,                  0.995,                 0.9697,                0.30734,                0.49167,                  1.249,                0.84042,               0.001486,               0.001486,               0.001486
                     88,                0.41299,                0.53549,                   1.09,                0.90716,                0.99222,                0.97625,                  0.995,                0.97193,                0.99222,                0.97625,                  0.995,                 0.9697,                0.30734,                0.49167,                  1.249,                0.84042,               0.001387,               0.001387,               0.001387
                     89,                0.45112,                0.59056,                 1.0322,                0.90276,                0.99256,                0.96955,                  0.995,                 0.9624,                0.99256,                0.96955,                  0.995,                0.96274,                0.30626,                0.49079,                 1.2363,                  0.835,               0.001288,               0.001288,               0.001288
                     90,                0.46361,                 0.6773,                 1.1655,                0.89536,                0.99256,                0.96955,                  0.995,                 0.9624,                0.99256,                0.96955,                  0.995,                0.96274,                0.30626,                0.49079,                 1.2363,                  0.835,               0.001189,               0.001189,               0.001189
                     91,                0.45837,                0.66124,                 1.0562,                0.91787,                0.99173,                0.96492,                  0.995,                0.95033,                0.99173,                0.96492,                  0.995,                0.96426,                0.30323,                0.48339,                  1.243,                0.83331,                0.00109,                0.00109,                0.00109
                     92,                0.41327,                0.64493,                 1.0441,                0.89439,                0.99173,                0.96492,                  0.995,                0.95033,                0.99173,                0.96492,                  0.995,                0.96426,                0.30323,                0.48339,                  1.243,                0.83331,               0.000991,               0.000991,               0.000991
                     93,                0.44799,                0.68415,                 1.0154,                0.92711,                0.99111,                 0.9649,                  0.995,                0.95046,                0.99111,                 0.9649,                  0.995,                0.94992,                0.30131,                 0.4826,                 1.2276,                0.83229,               0.000892,               0.000892,               0.000892
                     94,                0.48746,                0.67118,                 1.1589,                0.93268,                0.99111,                 0.9649,                  0.995,                0.95046,                0.99111,                 0.9649,                  0.995,                0.94992,                0.30131,                 0.4826,                 1.2276,                0.83229,               0.000793,               0.000793,               0.000793
                     95,                0.43586,                0.70415,                 1.0572,                0.89973,                0.99171,                0.96574,                  0.995,                0.96758,                0.99171,                0.96574,                  0.995,                0.96693,                 0.2853,                 0.4756,                  1.201,                 0.8258,               0.000694,               0.000694,               0.000694
                     96,                 0.4707,                0.67482,                  1.044,                0.90777,                0.99171,                0.96574,                  0.995,                0.96758,                0.99171,                0.96574,                  0.995,                0.96693,                 0.2853,                 0.4756,                  1.201,                 0.8258,               0.000595,               0.000595,               0.000595
                     97,                0.45563,                0.64211,                 1.0188,                0.92633,                0.96584,                0.99599,                  0.995,                0.96841,                0.96584,                0.99599,                  0.995,                0.96833,                0.27222,                0.46936,                  1.178,                0.82263,               0.000496,               0.000496,               0.000496
                     98,                0.44741,                0.68665,                 1.0294,                0.92336,                0.96584,                0.99599,                  0.995,                0.96841,                0.96584,                0.99599,                  0.995,                0.96833,                0.27222,                0.46936,                  1.178,                0.82263,               0.000397,               0.000397,               0.000397
                     99,                0.41921,                0.71094,                  1.023,                0.89791,                0.97747,                0.99346,                  0.995,                0.97419,                0.97747,                0.99346,                  0.995,                0.96835,                0.26378,                0.46249,                 1.1637,                0.81966,               0.000298,               0.000298,               0.000298
